-60	3600
-58.8	3457.44
-57.6	3317.76
-56.4	3180.96
-55.2	3047.04
-54	2916
-52.8	2787.84
-51.6	2662.56
-50.4	2540.16
-49.2	2420.64
-48	2304
-46.8	2190.24
-45.6	2079.36
-44.4	1971.36
-43.2	1866.24
-42	1764
-40.8	1664.64
-39.6	1568.16
-38.4	1474.56
-37.2	1383.84
-36	1296
-34.8	1211.04
-33.6	1128.96
-32.4	1049.76
-31.2	973.44
-30	900
-28.8	829.44
-27.6	761.76
-26.4	696.96
-25.2	635.04
-24	576
-22.8	519.84
-21.6	466.56
-20.4	416.16
-19.2	368.64
-18	324
-16.8	282.24
-15.6	243.36
-14.4	207.36
-13.2	174.24
-12	144
-10.8	116.64
-9.6	92.16
-8.4	70.56
-7.2	51.84
-6	36
-4.8	23.04
-3.6	12.96
-2.4	5.76
-1.2	1.44
5.19584e-014	2.69968e-027
1.2	1.44
2.4	5.76
3.6	12.96
4.8	23.04
6	36
7.2	51.84
8.4	70.56
9.6	92.16
10.8	116.64
12	144
13.2	174.24
14.4	207.36
15.6	243.36
16.8	282.24
18	324
19.2	368.64
20.4	416.16
21.6	466.56
22.8	519.84
24	576
25.2	635.04
26.4	696.96
27.6	761.76
28.8	829.44
30	900
31.2	973.44
32.4	1049.76
33.6	1128.96
34.8	1211.04
36	1296
37.2	1383.84
38.4	1474.56
39.6	1568.16
40.8	1664.64
42	1764
43.2	1866.24
44.4	1971.36
45.6	2079.36
46.8	2190.24
48	2304
49.2	2420.64
50.4	2540.16
51.6	2662.56
52.8	2787.84
54	2916
55.2	3047.04
56.4	3180.96
57.6	3317.76
58.8	3457.44

End of values table
