datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,16
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,40
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,32
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,13
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,1
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,1
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,3
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,8
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,14
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,36
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,56
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,84
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,94
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,106
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,110
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,93
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,67
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,35
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,37
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,36
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,34
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,28
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,39
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,17
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,17
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,9
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,6
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,3
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,2
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,1
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,8
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,20
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,53
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,70
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,93
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,75
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,59
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,74
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,76
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,65
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,53
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,30
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,22
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,31
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,9
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,8
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,5
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,2
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,1
2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,3
2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,30
2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,64
2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,154
2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,88
2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,44
2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,51
2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,61
2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,61
2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,77
2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,72
2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,76
2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,157
2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,157
2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,110
2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,52
2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,52
2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,20
2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,12
2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,5
2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,2
2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,1
2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,2
2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,4
2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,36
2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,94
2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,179
2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,100
2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,42
2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,57
2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,78
2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,97
2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,63
2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,65
2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,83
2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,212
2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,182
2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,112
2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,54
2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,48
2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,35
2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,11
2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,6
2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,6
2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,2
2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,2
2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,3
2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,33
2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,88
2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,195
2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,115
2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,57
2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,46
2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,79
2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,71
2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,62
2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,62
2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,89
2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,190
2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,169
2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,132
2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,89
2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,43
2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,42
2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,19
2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,11
2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,4
2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,2
2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,1
2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,4
2011-01-06 06:00:00,1,0,1,2,5.74,8.335,63,7.0015,36
2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,95
2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,0.0,219
2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,0.0,122
2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,45
2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,59
2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,84
2011-01-06 13:00:00,1,0,1,1,10.66,13.635,35,7.0015,67
2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,70
2011-01-06 15:00:00,1,0,1,1,11.48,13.635,36,0.0,62
2011-01-06 16:00:00,1,0,1,1,10.66,12.88,38,11.0014,86
2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,172
2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,163
2011-01-06 19:00:00,1,0,1,1,9.02,12.88,55,6.0032,112
2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,69
2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,48
2011-01-06 22:00:00,1,0,1,2,9.02,10.605,51,19.0012,52
2011-01-06 23:00:00,1,0,1,2,8.2,9.85,59,12.998,23
2011-01-07 00:00:00,1,0,1,2,8.2,9.85,64,12.998,17
2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,7
2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,1
2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,1
2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,5
